date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:58	32/32	---M--	200	added ('OK')	text/plain	date:Wed,%2004%20Dec%202024%2008:10:54%20GMT	https://fountainjournals.com/robots.txt		(from )
00:51:59	153019/153019	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2023:51:59%20GMT	https://fountainjournals.com/index.php/FUJNAS/	C:/jojo/school/jhst-journal/_inspo/fountainjournals.com[full]/fountainjournals.com/index.php/FUJNAS/index.html	(from )
00:51:59	58440/58440	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Dec%202024%2018:32:34%20GMT	https://fountainjournals.com/public/journals/1/favicon_en.png	C:/jojo/school/jhst-journal/_inspo/fountainjournals.com[full]/fountainjournals.com/public/journals/1/favicon_en.png	(from https://fountainjournals.com/index.php/FUJNAS/)
00:52:01	228758/228758	---MC-	200	added ('OK')	application/atom+xml	date:Mon,%2029%20Dec%202025%2023:52:00%20GMT	https://fountainjournals.com/index.php/FUJNAS/gateway/plugin/WebFeedGatewayPlugin/atom	C:/jojo/school/jhst-journal/_inspo/fountainjournals.com[full]/fountainjournals.com/index.php/FUJNAS/gateway/plugin/WebFeedGatewayPlugin/atom	(from https://fountainjournals.com/index.php/FUJNAS/)
00:52:01	241744/241744	---MC-	200	added ('OK')	application/rdf+xml	date:Mon,%2029%20Dec%202025%2023:52:01%20GMT	https://fountainjournals.com/index.php/FUJNAS/gateway/plugin/WebFeedGatewayPlugin/rss	C:/jojo/school/jhst-journal/_inspo/fountainjournals.com[full]/fountainjournals.com/index.php/FUJNAS/gateway/plugin/WebFeedGatewayPlugin/rss	(from https://fountainjournals.com/index.php/FUJNAS/)
00:52:03	129696/129696	---MC-	200	added ('OK')	application/atom+xml	date:Mon,%2029%20Dec%202025%2023:52:03%20GMT	https://fountainjournals.com/index.php/FUJNAS/gateway/plugin/AnnouncementFeedGatewayPlugin/atom	C:/jojo/school/jhst-journal/_inspo/fountainjournals.com[full]/fountainjournals.com/index.php/FUJNAS/gateway/plugin/AnnouncementFeedGatewayPlugin/atom	(from https://fountainjournals.com/index.php/FUJNAS/)
00:52:03	221517/221517	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2029%20Dec%202025%2023:52:03%20GMT	https://fountainjournals.com/index.php/FUJNAS/gateway/plugin/WebFeedGatewayPlugin/rss2	C:/jojo/school/jhst-journal/_inspo/fountainjournals.com[full]/fountainjournals.com/index.php/FUJNAS/gateway/plugin/WebFeedGatewayPlugin/rss2	(from https://fountainjournals.com/index.php/FUJNAS/)
00:52:03	129480/129480	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2029%20Dec%202025%2023:52:04%20GMT	https://fountainjournals.com/index.php/FUJNAS/gateway/plugin/AnnouncementFeedGatewayPlugin/rss2	C:/jojo/school/jhst-journal/_inspo/fountainjournals.com[full]/fountainjournals.com/index.php/FUJNAS/gateway/plugin/AnnouncementFeedGatewayPlugin/rss2	(from https://fountainjournals.com/index.php/FUJNAS/)
00:52:03	129599/129599	---MC-	200	added ('OK')	application/rdf+xml	date:Mon,%2029%20Dec%202025%2023:52:03%20GMT	https://fountainjournals.com/index.php/FUJNAS/gateway/plugin/AnnouncementFeedGatewayPlugin/rss	C:/jojo/school/jhst-journal/_inspo/fountainjournals.com[full]/fountainjournals.com/index.php/FUJNAS/gateway/plugin/AnnouncementFeedGatewayPlugin/rss	(from https://fountainjournals.com/index.php/FUJNAS/)
00:52:04	63823/63823	---MCZ	200	added ('OK')	text/css	date:Sat,%2022%20Mar%202025%2002:12:25%20GMT	https://fountainjournals.com/index.php/FUJNAS/$$$call$$$/page/page/css?name=stylesheet	C:/jojo/school/jhst-journal/_inspo/fountainjournals.com[full]/fountainjournals.com/index.php/FUJNAS/$$$call$$$/page/page/css4a93.css	(from https://fountainjournals.com/index.php/FUJNAS/)
